line,SubStart,SubEnd,Type,longstart,latstart,longend,latend
lne_4009_4010_1,BIG EDDY,CELILO,230,-123.1622078,45.9320709,-120.8895561,44.53048143
lne_2610_2613_1,HAYNES,RIVER,230,-119.4179324,36.778261,-119.4179324,36.778261
lne_3908_3920_1,BRIGHTON,RIO OSO,230,-121.4171753,38.5493505,-121.5436099,38.9572825
lne_6104_6305_1,BORAH,NAUGHTON,230,-114.7420408,44.0682019,-107.2902839,43.0759678
lne_2408_2411_1,VINCENT,MESA CAL,230,-117.9227605,34.0982802,-118.54186,37.4174983
lne_3916_3924_1,LOGAN CR,VACA-DIX,230,-119.4179324,36.778261,-121.8232958,38.4454641
lne_3303_3304_2,METCALF,MONTAVIS,230,-121.7459388,37.2205289,-119.4179324,36.778261
lne_2202_2203_2,MISSION,MIGUEL,230,-118.2409101,34.5194362,-117.7149438,33.5236744
lne_3202_3204_1,MORAGA,PITSBURG,230,-122.1296871,37.8349263,-121.8846806,38.0279762
lne_3103_3204_1,PITSBURG,SANMATEO,230,-121.8846806,38.0279762,-122.3255254,37.5629917
lne_3202_3924_1,MORAGA,VACA-DIX,230,-122.1296871,37.8349263,-121.8232958,38.4454641
lne_2612_2615_1,RINALDI,STA E,230,-118.5272048,34.27882352,-118.4543517,34.0290136
lne_2615_2617_1,STA G,STA E,230,-119.4179324,36.778261,-118.4543517,34.0290136
lne_3202_3203_1,MORAGA,NEWARK,230,-122.1296871,37.8349263,-122.0383968,37.5299765
lne_3911_3921_1,COTWDPGE,ROUND MT,230,-119.4179324,36.778261,-121.9419412,40.7940442
lne_3201_3203_2,C.COSTA,NEWARK,230,-119.2179324,35.778261,-122.0383968,37.5299765
lne_3202_3203_9,MORAGA,NEWARK,230,-122.1296871,37.8349263,-122.0383968,37.5299765
lne_2610_2616_1,HAYNES,STA F,230,-119.4179324,36.778261,-118.0853451,33.9472359
lne_2502_2503_2,S.ONOFRE,SERRANO,230,-119.4179324,36.778261,-120.654615,35.334974
lne_3401_3402_1,GREGG,HELMS PP,230,-119.93692,36.879608,-122.2699515,37.8626152
lne_3303_3918_1,METCALF,MOSSLAND,230,-121.7459388,37.2205289,-121.8770281,37.3813573
lne_2405_2410_1,PARDEE,SYLMAR S,230,-118.5406413,34.4149964,-118.4571974,34.3058279
lne_3404_3918_1,PANOCHE,MOSSLAND,230,-120.8337116,36.5969274,-121.8770281,37.3813573
lne_3907_3908_1,BELLOTA,BRIGHTON,230,-121.0138298,38.0529779,-121.4171753,38.5493505
lne_3401_3405_1,GREGG,WILSON,230,-119.93692,36.879608,-121.6257966,38.9782281
lne_3102_3103_2,MARTIN,SANMATEO,230,-121.6102216,37.0849464,-122.3255254,37.5629917
lne_2410_2411_1,VINCENT,PARDEE,230,-117.9227605,34.0982802,-118.5406413,34.4149964
lne_3201_3202_1,C.COSTA,MORAGA,230,-119.2179324,35.778261,-122.1296871,37.8349263
lne_3102_3103_1,MARTIN,SANMATEO,230,-121.6102216,37.0849464,-122.3255254,37.5629917
lne_3205_3914_1,IGNACIO,SOBRANTE,230,-122.5385899,38.0701986,-122.2952474,37.9771452
lne_3303_3304_1,METCALF,MONTAVIS,230,-121.7459388,37.2205289,-119.4179324,36.778261
lne_3404_3917_1,PANOCHE,LOSBANOS,230,-120.8337116,36.5969274,-120.8499151,37.0582786
lne_6305_6510_1,BENLOMND,NAUGHTON,230,-111.960498,41.363274,-107.2902839,43.0759678
lne_3911_8003_2,COTWDPGE,COTWDWAP,230,-119.4179324,36.778261,-120.8895561,44.53048143
lne_3910_3924_1,CORTINA,VACA-DIX,230,-122.2909078,39.0189327,-121.8232958,38.4454641
lne_3923_8005_1,TESLA,TRACYPMP,230,-121.9447185,37.49263866,-120.8895561,44.53048143
lne_3404_3804_1,PANOCHE,GATES,230,-120.8337116,36.5969274,-118.3765336,33.87874241
lne_3205_3915_1,LAKEVILE,SOBRANTE,230,-119.5073942,38.5661947,-122.2952474,37.9771452
lne_2613_2617_1,RIVER,STA G,230,-119.4179324,36.778261,-119.4179324,36.778261
lne_3201_3923_2,C.COSTA,TESLA,230,-119.2179324,35.778261,-121.9447185,37.49263866
lne_3201_3923_1,C.COSTA,TESLA,230,-119.2179324,35.778261,-121.9447185,37.49263866
lne_3201_3924_1,C.COSTA,VACA-DIX,230,-119.2179324,35.778261,-121.8232958,38.4454641
lne_2608_2611_1,CASTAIC,OLIVE,230,-118.6256552,34.4890363,-117.8461682,33.8361268
lne_2612_2618_2,RINALDI,STA J,230,-118.5272048,34.27882352,-121.9155878,37.29669568
lne_2000_2202_1,MIGUEL,MEXICO,230,-117.7149438,33.5236744,-102.552784,23.634501
lne_2610_2613_2,HAYNES,RIVER,230,-119.4179324,36.778261,-119.4179324,36.778261
lne_3804_3806_1,MORROBAY,GATES,230,-120.8499924,35.3659445,-118.3765336,33.87874241
lne_3910_3911_1,CORTINA,COTWDPGE,230,-122.2909078,39.0189327,-119.4179324,36.778261
lne_3202_3924_2,MORAGA,VACA-DIX,230,-122.1296871,37.8349263,-121.8232958,38.4454641
lne_3907_3923_1,BELLOTA,TESLA,230,-121.0138298,38.0529779,-121.9447185,37.49263866
lne_3401_3405_2,GREGG,WILSON,230,-119.93692,36.879608,-121.6257966,38.9782281
lne_3201_3924_2,C.COSTA,VACA-DIX,230,-119.2179324,35.778261,-121.8232958,38.4454641
lne_2612_2619_2,RINALDI,SYLMARLA,230,-118.5272048,34.27882352,-118.4571974,34.3058279
lne_3102_3103_3,MARTIN,SANMATEO,230,-121.6102216,37.0849464,-122.3255254,37.5629917
lne_3203_3303_9,NEWARK,METCALF,230,-122.0383968,37.5299765,-121.7459388,37.2205289
lne_4104_5004_1,BELL,CA230,230,-122.3436315,47.7465965,-120.0354197,49.24757852
lne_3203_3204_1,PITSBURG,NEWARK,230,-121.8846806,38.0279762,-122.0383968,37.5299765
lne_3203_3923_1,NEWARK,TESLA,230,-122.0383968,37.5299765,-121.9447185,37.49263866
lne_4009_4104_1,BELL,BIG EDDY,230,-122.3436315,47.7465965,-123.1622078,45.9320709
lne_3911_8003_1,COTWDWAP,COTWDPGE,230,-120.8895561,44.53048143,-119.4179324,36.778261
lne_3907_8004_1,BELLOTA,RNCHSECO,230,-121.0138298,38.0529779,-119.6631676,36.38974578
lne_2407_2408_1,MESA CAL,LITEHIPE,230,-118.54186,37.4174983,-120.2048046,34.64552661
lne_2100_2302_1,IMPRLVLY,IMPERIAL,230,-117.8612372,33.85153194,-120.8895561,44.53048143
lne_2612_2618_4,RINALDI,STA J,230,-118.5272048,34.27882352,-121.9155878,37.29669568
lne_2615_2620_1,VALLEY,STA E,230,-122.2000778,40.20072756,-118.4543517,34.0290136
lne_3204_3923_1,PITSBURG,TESLA,230,-121.8846806,38.0279762,-121.9447185,37.49263866
lne_3923_8005_2,TESLA,TRACYPMP,230,-121.9447185,37.49263866,-120.8895561,44.53048143
lne_2202_2503_1,S.ONOFRE,MIGUEL,230,-119.4179324,36.778261,-117.7149438,33.5236744
lne_3204_3923_2,PITSBURG,TESLA,230,-121.8846806,38.0279762,-121.9447185,37.49263866
lne_3911_3924_1,COTWDPGE,VACA-DIX,230,-119.4179324,36.778261,-121.8232958,38.4454641
lne_2409_2502_1,SERRANO,MIRALOMA,230,-120.654615,35.334974,-117.5159449,33.9845417
lne_3401_3804_1,GATES,GREGG,230,-118.3765336,33.87874241,-119.93692,36.879608
lne_2608_2618_1,CASTAIC,STA J,230,-118.6256552,34.4890363,-121.9155878,37.29669568
lne_3911_3921_2,COTWDPGE,ROUND MT,230,-119.4179324,36.778261,-121.9419412,40.7940442
lne_2616_2617_1,STA F,STA G,230,-118.0853451,33.9472359,-119.4179324,36.778261
lne_3912_3924_1,GLENN,VACA-DIX,230,-122.0138651,39.5218283,-121.8232958,38.4454641
lne_3401_3402_2,HELMS PP,GREGG,230,-122.2699515,37.8626152,-119.93692,36.879608
lne_6204_6205_1,GARRISON,MONTANA,230,-112.81171,46.5232622,-106.6236368,45.8841618
lne_3302_3304_1,JEFFERSN,MONTAVIS,230,-118.3140488,34.0324579,-119.4179324,36.778261
lne_2613_2616_1,RIVER,STA F,230,-119.4179324,36.778261,-118.0853451,33.9472359
lne_3202_3205_1,MORAGA,SOBRANTE,230,-122.1296871,37.8349263,-122.2952474,37.9771452
lne_2203_2503_1,MISSION,S.ONOFRE,230,-118.2409101,34.5194362,-119.4179324,36.778261
lne_3913_3920_2,GOLDHILL,RIO OSO,230,-120.8846603,38.7610132,-121.5436099,38.9572825
lne_3103_3305_2,RAVENSWD,SANMATEO,230,-122.1352417,37.4763272,-122.3255254,37.5629917
lne_8003_8005_1,COTWDWAP,TRACYPMP,230,#N/A,#N/A,#N/A,#N/A
lne_3909_3919_1,COLGATE,PALERMO,230,-117.7157199,35.2552456,-121.5380243,39.4354432
lne_3404_3804_2,GATES,PANOCHE,230,-118.3765336,33.87874241,-120.8337116,36.5969274
lne_6303_6305_1,NAUGHTON,BRIDGER2,230,-107.2902839,43.0759678,-107.2902839,43.0759678
lne_3203_3303_1,METCALF,NEWARK,230,-121.7459388,37.2205289,-122.0383968,37.5299765
lne_6303_6305_2,NAUGHTON,BRIDGER2,230,-107.2902839,43.0759678,-107.2902839,43.0759678
lne_2405_2406_1,EAGLROCK,SYLMAR S,230,-118.2140883,34.1391568,-118.4571974,34.3058279
lne_3302_3304_2,JEFFERSN,MONTAVIS,230,-118.3140488,34.0324579,-119.4179324,36.778261
lne_3501_3915_1,FULTON,LAKEVILE,230,-122.7704616,38.4956463,-119.5073942,38.5661947
lne_3913_8004_1,GOLDHILL,RNCHSECO,230,-120.8846603,38.7610132,-119.6631676,36.38974578
lne_5003_5004_1,CA230TO,CA230,230,-107.2902839,43.0759678,-120.0354197,49.24757852
lne_2408_2409_1,MIRALOMA,MESA CAL,230,-117.5159449,33.9845417,-118.54186,37.4174983
lne_3101_3102_1,EMBRCDRD,MARTIN,230,-119.4179324,36.778261,-121.6102216,37.0849464
lne_8003_8005_2,TRACYPMP,COTWDWAP,230,-120.8895561,44.53048143,-120.8895561,44.53048143
lne_3201_3202_2,C.COSTA,MORAGA,230,-119.2179324,35.778261,-122.1296871,37.8349263
lne_2612_2620_2,RINALDI,VALLEY,230,-118.5272048,34.27882352,-122.2000778,40.20072756
lne_6203_6303_1,BRIDGER2,COLSTRP,230,-107.2902839,43.0759678,-106.6236368,45.8841618
lne_2608_2619_1,CASTAIC,SYLMARLA,230,-118.6256552,34.4890363,-118.4571974,34.3058279
lne_3203_3923_2,NEWARK,TESLA,230,-122.0383968,37.5299765,-121.9447185,37.49263866
lne_3103_3305_1,RAVENSWD,SANMATEO,230,-122.1352417,37.4763272,-122.3255254,37.5629917
lne_4009_4010_2,BIG EDDY,CELILO,230,-123.1622078,45.9320709,-120.8895561,44.53048143
lne_3911_3916_1,COTWDPGE,LOGAN CR,230,-119.4179324,36.778261,-119.4179324,36.778261
lne_2615_2617_2,STA G,STA E,230,-119.4179324,36.778261,-118.4543517,34.0290136
lne_2408_2502_1,SERRANO,MESA CAL,230,-120.654615,35.334974,-118.54186,37.4174983
lne_3913_3923_1,GOLDHILL,TESLA,230,-120.8846603,38.7610132,-121.9447185,37.49263866
lne_2406_2410_1,EAGLROCK,PARDEE,230,-118.2140883,34.1391568,-118.5406413,34.4149964
lne_6104_6204_1,BORAH,GARRISON,230,-114.7420408,44.0682019,-112.81171,46.5232622
lne_3203_3305_1,NEWARK,RAVENSWD,230,-122.0383968,37.5299765,-122.1352417,37.4763272
lne_3403_3804_1,GATES,MC CALL,230,-118.3765336,33.87874241,-119.4179324,36.778261
lne_3805_3806_1,MIDWAY,MORROBAY,230,-120.8895561,44.53048143,-120.8499924,35.3659445
lne_3303_3304_3,METCALF,MONTAVIS,230,-121.7459388,37.2205289,-119.4179324,36.778261
lne_2609_2615_1,STA E,GLENDAL,230,-118.4543517,34.0290136,-118.255075,34.1425078
lne_3405_3907_2,BELLOTA,WILSON,230,-121.0138298,38.0529779,-121.6257966,38.9782281
lne_2000_2302_1,MEXICO,IMPRLVLY,230,-102.552784,23.634501,-117.8612372,33.85153194
lne_3305_3923_1,RAVENSWD,TESLA,230,-122.1352417,37.4763272,-121.9447185,37.49263866
lne_6203_6205_1,COLSTRP,MONTANA,230,-106.6236368,45.8841618,-106.6236368,45.8841618
lne_3102_3302_1,JEFFERSN,MARTIN,230,-118.3140488,34.0324579,-121.6102216,37.0849464
lne_2405_2410_2,PARDEE,SYLMAR S,230,-118.5406413,34.4149964,-118.4571974,34.3058279
lne_2406_2408_1,EAGLROCK,MESA CAL,230,-118.2140883,34.1391568,-118.54186,37.4174983
lne_2612_2619_1,RINALDI,SYLMARLA,230,-118.5272048,34.27882352,-118.4571974,34.3058279
lne_3919_3922_1,PALERMO,TABLE MT,230,-121.5380243,39.4354432,-120.4331607,37.98493951
lne_3403_3404_1,MC CALL,PANOCHE,230,-119.4179324,36.778261,-120.8337116,36.5969274
lne_8004_8005_1,TRACYPMP,RNCHSECO,230,-120.8895561,44.53048143,-119.6631676,36.38974578
lne_2611_2612_1,OLIVE,RINALDI,230,-117.8461682,33.8361268,-118.5272048,34.27882352
lne_3101_3102_2,EMBRCDRD,MARTIN,230,-119.4179324,36.778261,-121.6102216,37.0849464
lne_3405_3907_1,BELLOTA,WILSON,230,-121.0138298,38.0529779,-121.6257966,38.9782281
lne_6203_6304_1,LARAMIE,COLSTRP,230,-105.5911007,41.3113669,-106.6236368,45.8841618
lne_1403_2100_1,IMPERIAL,PARKER,230,-120.8895561,44.53048143,-120.8895561,44.53048143
lne_2202_2203_1,MISSION,MIGUEL,230,-118.2409101,34.5194362,-117.7149438,33.5236744
lne_3909_3920_1,COLGATE,RIO OSO,230,-117.7157199,35.2552456,-121.5436099,38.9572825
lne_3103_3204_2,PITSBURG,SANMATEO,230,-121.8846806,38.0279762,-122.3255254,37.5629917
lne_3401_3404_1,GREGG,PANOCHE,230,-119.93692,36.879608,-120.8337116,36.5969274
lne_2608_2612_1,RINALDI,CASTAIC,230,-118.5272048,34.27882352,-118.6256552,34.4890363
lne_2609_2617_1,GLENDAL,STA G,230,-118.255075,34.1425078,-119.4179324,36.778261
lne_2203_2503_2,MISSION,S.ONOFRE,230,-118.2409101,34.5194362,-119.4179324,36.778261
lne_2612_2618_1,RINALDI,STA J,230,-118.5272048,34.27882352,-121.9155878,37.29669568
lne_2612_2619_3,RINALDI,SYLMARLA,230,-118.5272048,34.27882352,-118.4571974,34.3058279
lne_2612_2618_3,RINALDI,STA J,230,-118.5272048,34.27882352,-121.9155878,37.29669568
lne_2610_2617_1,HAYNES,STA G,230,-119.4179324,36.778261,-119.4179324,36.778261
lne_6203_6303_2,COLSTRP,BRIDGER2,230,-106.6236368,45.8841618,-107.2902839,43.0759678
lne_2410_2411_2,VINCENT,PARDEE,230,-117.9227605,34.0982802,-118.5406413,34.4149964
lne_3915_3924_1,LAKEVILE,VACA-DIX,230,-119.5073942,38.5661947,-121.8232958,38.4454641
lne_3913_3920_1,GOLDHILL,RIO OSO,230,-120.8846603,38.7610132,-121.5436099,38.9572825
lne_2502_2503_1,S.ONOFRE,SERRANO,230,-119.4179324,36.778261,-120.654615,35.334974
lne_6303_6304_1,BRIDGER2,LARAMIE,230,-107.2902839,43.0759678,-105.5911007,41.3113669
lne_3911_3912_1,COTWDPGE,GLENN,230,-119.4179324,36.778261,-122.0138651,39.5218283
lne_3911_3921_3,COTWDPGE,ROUND MT,230,-119.4179324,36.778261,-121.9419412,40.7940442
lne_2408_2409_2,MIRALOMA,MESA CAL,230,-117.5159449,33.9845417,-118.54186,37.4174983
lne_2612_2615_2,RINALDI,STA E,230,-118.5272048,34.27882352,-118.4543517,34.0290136
lne_8003_8004_1,RNCHSECO,COTWDWAP,230,-119.6631676,36.38974578,-120.8895561,44.53048143
lne_2614_2616_1,STA F,STA BLD,230,-118.0853451,33.9472359,-120.8895561,44.53048143
lne_3920_3922_1,RIO OSO,TABLE MT,230,-121.5436099,38.9572825,-120.4331607,37.98493951
lne_2614_2616_2,STA F,STA BLD,230,-118.0853451,33.9472359,-120.8895561,44.53048143
lne_3701_3926_2,RIO OSO,SUMMIT,115,-121.5436099,38.9572825,-120.8895561,44.53048143
lne_3104_3105_1,MARTIN,POTRERO,115,-121.6102216,37.0849464,-116.6130731,32.6047822
lne_3701_3926_1,SUMMIT,RIO OSO,115,-120.8895561,44.53048143,-121.5436099,38.9572825
lne_3601_3925_1,COTWDPGE,HUMBOLDT,115,-119.4179324,36.778261,-123.8695086,40.7450055
